AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_sequences,method,parameter,predicted_boxes,scope,sequence_count,threshold,tracker,valid_gt_boxes,valid_output
43.730127604598295,39.40191721777138,13251,96,1745,39.74447345547127,44.15399674884576,2760,40.72706874733229,17415,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,17511,legacy12,12,0.01,bytetrack,30666,True
45.10764709497109,48.41494044510903,60121,214,11710,45.67411468137457,48.632725240308545,17285,47.832113919731675,105407,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,105621,confirmation38,38,0.01,bytetrack,165528,True
44.77704241728162,46.251814870547996,73372,310,13455,44.25100078715778,47.55783040235749,20045,46.126903078355824,122822,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,123132,all_sequences,50,0.01,bytetrack,196194,True
43.78257817825374,39.40191721777138,13251,96,1745,39.78059143029803,44.20533524291266,2759,40.729811780029245,17415,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,17511,legacy12,12,0.025,bytetrack,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,confirmation38,38,0.025,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,all_sequences,50,0.025,bytetrack,,False
43.73058478264097,39.40191721777138,13251,96,1745,39.74529209230856,44.199761632670935,2759,40.729811780029245,17415,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,17511,legacy12,12,0.05,bytetrack,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,confirmation38,38,0.05,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,all_sequences,50,0.05,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.1,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,5,aflink_official,aflink_cost,,confirmation38,38,0.1,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,6,aflink_official,aflink_cost,,all_sequences,50,0.1,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.2,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,6,aflink_official,aflink_cost,,confirmation38,38,0.2,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,7,aflink_official,aflink_cost,,all_sequences,50,0.2,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.4,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,10,aflink_official,aflink_cost,,confirmation38,38,0.4,bytetrack,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,11,aflink_official,aflink_cost,,all_sequences,50,0.4,bytetrack,,False
44.6814027505582,39.40068106186691,13251,96,1745,40.240107558381766,45.25067652581854,2563,41.1846756634037,17415,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,17511,legacy12,12,0.05,bytetrack,30666,True
46.08550776871329,48.41294525549753,60121,214,11710,46.306336103793235,50.21352070174412,15959,48.58440318636563,105407,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,105621,confirmation38,38,0.05,bytetrack,165528,True
45.74852256435607,46.250001849026184,73372,310,13455,44.85044125289448,49.02243809952198,18522,46.80846858085477,122822,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,123132,all_sequences,50,0.05,bytetrack,196194,True
45.331609635977486,39.40068106186691,13251,96,1745,40.625721288485835,45.92077149206349,2397,41.53598031453411,17415,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,17511,legacy12,12,0.1,bytetrack,30666,True
46.64084878731007,48.41283562251678,60121,214,11710,46.63804033836351,50.83796099387764,15283,49.17494689444813,105407,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,105621,confirmation38,38,0.1,bytetrack,165528,True
46.32663139099025,46.24991852796081,73372,310,13455,45.19508376639286,49.657835513442244,17680,47.34159491526875,122822,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,123132,all_sequences,50,0.1,bytetrack,196194,True
