GT_labeled_tracklets,accepted_correct,accepted_false,accepted_links,baseline_AssA,baseline_HOTA,baseline_IDF1,baseline_IDSW,candidate_support_edges,correct_fragment_opportunities_gap_le_30,dataset,delta_AssA,delta_HOTA,delta_IDF1,delta_IDSW,modality,refined_AssA,refined_HOTA,refined_IDF1,refined_IDSW,sequence,split,tracker,tracklet_count
42,1,2,3,94.52264145011814,94.28798948645316,99.00564364418167,5,60,3,M3OT,-1.589190488547743,-0.7978231449101685,-1.057063513392464,-1,ir,92.9334509615704,93.49016634154299,97.94858013078921,4,M3OT/1/ir/val/1-08T,development,bytetrack,44
45,2,3,5,95.68257009533822,96.70232716862722,97.17432517829737,6,81,6,M3OT,1.450570185165887,0.7302576624114465,1.3902681231380427,-2,ir,97.13314028050411,97.43258483103867,98.56459330143541,4,M3OT/1/ir/val/1-08T,development,ocsort,45
42,2,0,2,92.97003547249177,92.84299432673467,99.0907501311418,3,29,3,M3OT,0.680690860958137,0.34031746967524157,0.45462493442910556,-2,rgb,93.65072633344991,93.18331179640991,99.54537506557091,1,M3OT/1/rgb/val/1-08,development,bytetrack,42
42,2,1,3,97.27228171910852,97.6055218975441,98.53847508364149,3,35,3,M3OT,0.49816284110380593,0.24961555353887377,0.35217467864060836,-2,rgb,97.77044456021233,97.85513745108297,98.8906497622821,1,M3OT/1/rgb/val/1-08,development,ocsort,42
49,7,1,8,85.95331180887736,90.31361427095017,90.86507835393044,11,174,9,M3OT,7.736698209857039,3.9747720082250453,7.032743024589109,-7,ir,93.6900100187344,94.28838627917521,97.89782137851955,4,M3OT/2/ir/val/2-08T,development,bytetrack,50
50,8,1,9,87.90893608571727,92.93430451331025,90.54209919261822,11,176,10,M3OT,7.762241741372833,4.016206269724819,6.907599641163657,-8,ir,95.6711778270901,96.95051078303507,97.44969883378188,3,M3OT/2/ir/val/2-08T,development,ocsort,50
40,0,0,0,95.67316321825757,95.68914716653936,98.57943925233646,1,28,0,M3OT,0.0,0.0,0.0,0,rgb,95.67316321825757,95.68914716653936,98.57943925233646,1,M3OT/2/rgb/val/2-08,development,bytetrack,40
40,0,0,0,97.32888435836351,97.9784501584312,98.13470205307962,1,30,0,M3OT,0.0,0.0,0.0,0,rgb,97.32888435836351,97.9784501584312,98.13470205307962,1,M3OT/2/rgb/val/2-08,development,ocsort,40
19,0,2,2,87.53887235224622,86.41367269631424,98.44961240310077,3,19,1,M3OT,-5.09969566964601,-2.5368377990755135,-3.1782945736433987,0,ir,82.4391766826002,83.87683489723872,95.27131782945737,3,M3OT/1/ir/test/1-03T,held_out,bytetrack,22
21,0,1,1,94.61210304191653,94.99934053536165,97.1675845790716,2,29,2,M3OT,-0.29741916326202045,-0.1494357671256097,0.0,0,ir,94.3146838786545,94.84990476823604,97.1675845790716,2,M3OT/1/ir/test/1-03T,held_out,ocsort,21
18,0,0,0,93.80810176939875,92.31784105436702,99.3050193050193,0,12,0,M3OT,0.0,0.0,0.0,0,rgb,93.80810176939875,92.31784105436702,99.3050193050193,0,M3OT/1/rgb/test/1-03,held_out,bytetrack,19
19,0,0,0,95.89923456617828,95.87906301439654,97.88566953797964,0,15,0,M3OT,0.0,0.0,0.0,0,rgb,95.89923456617828,95.87906301439654,97.88566953797964,0,M3OT/1/rgb/test/1-03,held_out,ocsort,19
21,0,4,4,78.47979932173271,81.64223058831031,90.0650759219089,3,25,2,M3OT,-11.466029404815842,-6.213308226186328,-9.370932754880698,0,ir,67.01376991691687,75.42892236212398,80.6941431670282,3,M3OT/2/ir/test/2-03T,held_out,bytetrack,22
22,0,2,2,84.78442921071648,89.59264484023326,88.70255957634599,3,30,3,M3OT,-3.1371170312989562,-1.6731359913430737,-2.2065313327449303,0,ir,81.64731217941753,87.91950884889019,86.49602824360106,3,M3OT/2/ir/test/2-03T,held_out,ocsort,22
19,0,1,1,93.90163417070467,92.85009044178017,99.2675570874623,0,14,0,M3OT,-4.538701924583393,-2.2633055453516704,-3.446790176647994,0,rgb,89.36293224612128,90.5867848964285,95.8207669108143,0,M3OT/2/rgb/test/2-03,held_out,bytetrack,19
19,0,0,0,95.77428452952107,95.74855882680927,97.8146853146853,0,15,0,M3OT,0.0,0.0,0.0,0,rgb,95.77428452952107,95.74855882680927,97.8146853146853,0,M3OT/2/rgb/test/2-03,held_out,ocsort,19
