AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
42.28840199140619,30.958681402539565,104376,12727,7690,34.64553531169412,38.31634073180515,10324,28.83090766011097,91818,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,104545,all_sequences,50,bytetrack,196194,True
36.38483194474613,25.186450039057718,16767,1515,1165,27.787836118083998,31.056806237408097,1859,20.94506927302658,13899,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,15414,legacy12,12,bytetrack,30666,True
44.152687269298816,32.781491306796994,87609,11212,6525,36.8111245307289,40.60882530898317,8465,31.32117241392709,77919,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,89131,confirmation38,38,bytetrack,165528,True
44.1428561958578,30.94689126521057,104376,12727,7690,35.63613074912635,40.75504629806071,7908,30.071135926053984,91818,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,104545,all_sequences,50,bytetrack,196194,True
37.924681490841685,25.175575339407857,16767,1515,1165,28.485077401893985,32.79696357259991,1498,21.72833853197966,13899,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,15414,legacy12,12,bytetrack,30666,True
46.10649031323131,32.769412083885115,87609,11212,6525,37.89435812193656,43.26812505346938,6410,32.70570352418272,77919,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,89131,confirmation38,38,bytetrack,165528,True
44.10538812617762,30.955697394950985,104376,12727,7690,35.57788558011366,40.563010567702186,8405,29.84725948798606,91818,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,104545,all_sequences,50,bytetrack,196194,True
37.9232783899806,25.17923524615507,16767,1515,1165,28.48373553121225,32.76737718967011,1553,21.62143668407691,13899,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,15414,legacy12,12,bytetrack,30666,True
46.05763330602931,32.779843336676,87609,11212,6525,37.818143490293046,43.024789529185995,6852,32.444887741852106,77919,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,89131,confirmation38,38,bytetrack,165528,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,3,aflink_official,,all_sequences,50,bytetrack,,False
36.328243446539574,25.186450039057718,16767,1515,1165,27.7586134156066,31.069197811137958,1859,20.94506927302658,13899,equal_sequence_mean_metrics_total_counts,0,0,aflink_official,15414,legacy12,12,bytetrack,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,3,aflink_official,,confirmation38,38,bytetrack,,False
43.75499213679762,30.955724665701783,104376,12727,7690,35.39909653851582,39.967401330532766,8935,29.613741904539573,91818,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,104545,all_sequences,50,bytetrack,196194,True
37.79676464731279,25.17692404954776,16767,1515,1165,28.42306583034339,32.52343758416772,1612,21.498639483459456,13899,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,15414,legacy12,12,bytetrack,30666,True
45.63653765979283,32.78060907080306,87609,11212,6525,37.60205360425448,42.31812672412172,7323,32.17640582698592,77919,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,89131,confirmation38,38,bytetrack,165528,True
47.62000863859625,29.21251372484338,118476,7846,3325,35.88612370029249,36.46173728923567,4263,26.949922767249667,77718,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,85564,all_sequences,50,ocsort,196194,True
39.66292473287653,22.499812117701122,19938,946,832,27.091282535948704,26.9304077894094,1159,17.34327625876098,10728,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,11674,legacy12,12,ocsort,30666,True
50.13277197724458,31.332314232362,98538,6900,2493,38.66344196271684,39.47163081549661,3104,29.98360061203557,66990,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,73890,confirmation38,38,ocsort,165528,True
49.403531395633735,29.205092726901956,118476,7846,3323,36.506386869268944,38.13725985140249,2959,27.779702242007637,77718,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,85564,all_sequences,50,ocsort,196194,True
41.718231947876475,22.499356219667906,19938,946,832,27.895995708755606,29.003418492658724,813,18.476482783912584,10728,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,11674,legacy12,12,ocsort,30666,True
51.830468063346565,31.32269372918641,98538,6900,2491,39.22545776206264,41.02163080679525,2146,30.717561018248176,66990,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,73890,confirmation38,38,ocsort,165528,True
49.96778136252241,29.207053545927838,118476,7846,3323,36.770673792906656,38.74189746024475,2668,28.063963991780916,77718,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,85564,all_sequences,50,ocsort,196194,True
42.3891563583176,22.499224385264213,19938,946,832,28.223712343320585,29.526731076940635,736,18.726166733118458,10728,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,11674,legacy12,12,ocsort,30666,True
