tracker,method,valid_output,HOTA,AssA,IDF1,IDSW,invalid_sequences
bytetrack,no_refinement,True,34.64553531169412,42.28840199140619,38.31634073180515,10324.0,0
bytetrack,geometry_greedy,True,35.63613074912635,44.1428561958578,40.75504629806071,7908.0,0
bytetrack,geometry_reid_hungarian,True,35.57788558011366,44.10538812617762,40.563010567702186,8405.0,0
bytetrack,aflink_official,False,,,,,3
bytetrack,com3d_reciprocal_guard,True,35.39909653851582,43.75499213679762,39.967401330532766,8935.0,0
ocsort,no_refinement,True,35.88612370029249,47.62000863859625,36.46173728923567,4263.0,0
ocsort,geometry_greedy,True,36.506386869268944,49.403531395633735,38.13725985140249,2959.0,0
ocsort,geometry_reid_hungarian,True,36.770673792906656,49.96778136252241,38.74189746024475,2668.0,0
ocsort,aflink_official,False,,,,,1
ocsort,com3d_reciprocal_guard,True,36.53185303880642,49.240326489503246,38.08522975758765,3204.0,0
deepocsort,no_refinement,True,53.91984765086411,67.00430350974733,63.08515652334443,1370.0,0
deepocsort,geometry_greedy,True,54.25346154530702,67.70948240172952,64.0072576166142,1008.0,0
deepocsort,geometry_reid_hungarian,True,54.36034383754584,67.95142270721477,64.17182438841735,957.0,0
deepocsort,aflink_official,True,54.00470611995417,67.15767029694878,63.3339045732378,1342.0,0
deepocsort,com3d_reciprocal_guard,True,54.30897702017598,67.83676799973767,64.08300884293615,1046.0,0
