tracker,method,valid_output,HOTA,AssA,IDF1,IDSW,invalid_sequences
bytetrack,no_refinement,True,44.19608175318481,44.68986006506536,47.43747380136744,20056.0,0
bytetrack,geometry_greedy,True,45.59671276856722,46.96597065414651,51.01810408387921,15484.0,0
bytetrack,geometry_reid_hungarian,True,45.547772991265546,46.90468675270364,50.78353107074298,16462.0,0
bytetrack,aflink_official,False,,,,,2
bytetrack,com3d_reciprocal_guard,True,45.194708194598135,46.33654084058152,49.716814283535086,17511.0,0
ocsort,no_refinement,True,44.91677541362014,51.43059886705896,42.96378760853253,6119.0,0
ocsort,geometry_greedy,True,45.90282140828891,53.68158973569891,45.4071021030388,4122.0,0
ocsort,geometry_reid_hungarian,True,46.25781198007123,54.445377453356286,46.18531957078042,3547.0,0
ocsort,aflink_official,False,,,,,3
ocsort,com3d_reciprocal_guard,True,45.91677836089797,53.638820450734045,45.25381478226733,4441.0,0
deepocsort,no_refinement,True,81.32105008043304,82.06275997135361,81.48609392004401,1962.0,0
deepocsort,geometry_greedy,True,82.58391605328,84.52381021823876,83.69335494546962,1294.0,0
deepocsort,geometry_reid_hungarian,True,82.79455875979602,84.9282938140425,84.00150888501939,1174.0,0
deepocsort,aflink_official,False,,,,,4
deepocsort,com3d_reciprocal_guard,True,82.59626253428775,84.53797796291823,83.67010459435745,1377.0,0
