AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,aggregation,method,sequence_count,split,tracker
94.14707974675309,94.399515058602,94.24370344601112,98.60079955366432,6,99.34296983753083,13,2,3,equal_sequence_mean_metrics_total_counts,geometry_reid_greedy_guard,4,development,bytetrack
92.27978798743621,94.399515058602,93.28343631266932,96.8852278453976,20,99.29228560719635,0,0,0,equal_sequence_mean_metrics_total_counts,no_refinement,4,development,bytetrack
94.19994511113885,94.399515058602,94.27033020422888,98.62319496708363,5,99.34743252942658,13,2,3,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min3,4,development,bytetrack
94.64707813129698,94.399515058602,94.49395111838984,98.92777258958655,5,99.34743252942658,13,1,2,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min5,4,development,bytetrack
94.19994511113885,94.399515058602,94.27033020422888,98.62319496708363,5,99.34743252942658,13,2,3,equal_sequence_mean_metrics_total_counts,regr_temporal_risk_05,4,development,bytetrack
93.96168798921353,94.399515058602,94.15014989441252,98.50235931417438,9,99.3308686407312,10,3,3,equal_sequence_mean_metrics_total_counts,regr_v1,4,development,bytetrack
97.1021773081473,98.138039638988,97.61760173428496,98.32558290030127,6,98.1162050739195,15,4,0,equal_sequence_mean_metrics_total_counts,geometry_reid_greedy_guard,4,development,ocsort
94.54816806463187,98.138039638988,96.30515093447819,96.09740037690918,21,98.06105815168927,0,0,0,equal_sequence_mean_metrics_total_counts,no_refinement,4,development,ocsort
97.1021773081473,98.138039638988,97.61760173428496,98.32558290030127,6,98.1162050739195,15,4,0,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min3,4,development,ocsort
97.1274259735799,98.138039638988,97.63023617246473,98.32558290030127,6,98.1162050739195,15,2,0,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min5,4,development,ocsort
97.1021773081473,98.138039638988,97.61760173428496,98.32558290030127,6,98.1162050739195,15,4,0,equal_sequence_mean_metrics_total_counts,regr_temporal_risk_05,4,development,ocsort
96.97591175654252,98.138039638988,97.55417080589697,98.25991098764476,9,98.10410387711988,12,5,0,equal_sequence_mean_metrics_total_counts,regr_v1,4,development,ocsort
