AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,predicted_boxes,sequence,split,tracker,valid_gt_boxes
87.53887235224622,85.57068608050369,86.41367269631424,98.44961240310077,3,97.92467332820907,0,0,0,0,no_refinement,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
78.52413374093355,85.57068608050369,81.84461567963261,91.62790697674419,2,98.00153727901613,0,3,1,1,geometry_reid_greedy_guard,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
82.44230742965145,85.57068608050369,83.87844843785868,95.27131782945737,2,98.00153727901613,0,2,1,0,regr_v1,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
78.52413374093355,85.57068608050369,81.84461567963261,91.62790697674419,2,98.00153727901613,0,3,1,1,regr_temporal_risk_05,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
88.19835826178523,85.57068608050369,86.74418891635393,98.91472868217053,2,98.00153727901613,1,0,0,0,regr_t_reliable_motion_min5,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
94.61210304191653,95.38816295157568,94.99934053536165,97.1675845790716,2,95.23443504996156,0,0,0,0,no_refinement,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
89.96051114347047,95.38816295157568,92.63459340959189,93.62706530291109,2,95.23443504996156,0,2,0,1,geometry_reid_greedy_guard,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
94.3146838786545,95.38816295157568,94.84990476823604,97.1675845790716,2,95.23443504996156,0,1,0,0,regr_v1,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
89.96051114347047,95.38816295157568,92.63459340959189,93.62706530291109,2,95.23443504996156,0,2,0,1,regr_temporal_risk_05,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
95.19592923199454,95.38816295157568,95.29199761736639,97.4822974036192,1,95.31129900076863,1,0,0,0,regr_t_reliable_motion_min5,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,no_refinement,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
89.14330440788947,91.10168365179175,89.9998378122013,96.06177606177606,0,98.61963190184049,0,1,0,0,geometry_reid_greedy_guard,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
89.14330440788947,91.10168365179175,89.9998378122013,96.06177606177606,0,98.61963190184049,0,1,0,0,regr_v1,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
89.14330440788947,91.10168365179175,89.9998378122013,96.06177606177606,0,98.61963190184049,0,1,0,0,regr_temporal_risk_05,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,regr_t_reliable_motion_min5,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,no_refinement,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,geometry_reid_greedy_guard,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,regr_v1,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,regr_temporal_risk_05,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,regr_t_reliable_motion_min5,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
78.47979932173271,85.13564116635533,81.64223058831031,90.0650759219089,3,97.76632302405498,0,0,0,0,no_refinement,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
71.68479897947657,85.13564116635533,78.02491167614309,85.63991323210412,2,97.85223367697594,1,3,0,2,geometry_reid_greedy_guard,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
67.01376991691687,85.13564116635533,75.42892236212398,80.6941431670282,3,97.76632302405498,0,4,0,0,regr_v1,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
71.68479897947657,85.13564116635533,78.02491167614309,85.63991323210412,2,97.85223367697594,1,3,0,2,regr_temporal_risk_05,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
