AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,family,invalid_class_instances,method,predicted_boxes,sequence,tracker,valid_gt_boxes,valid_output
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,geometry_reid_greedy_guard,896,data23-1,bytetrack,1273,True
64.23653677547047,52.822814269190545,402,25,8,58.11990214953317,72.84462886122637,21,64.8075412411626,871,confirmation38,0,no_refinement,896,data23-1,bytetrack,1273,True
64.27812776934276,52.80901941169592,402,25,8,58.13177428007609,73.02904564315352,20,64.88609583660644,871,confirmation38,0,regr_t_reliable_motion_min5,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_temporal_risk_05,896,data23-1,bytetrack,1273,True
64.31558036897933,52.80901941169592,402,25,8,58.14906342088243,73.21346242508068,19,64.96465043205028,871,confirmation38,0,regr_v1,896,data23-1,bytetrack,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,geometry_reid_greedy_guard,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,no_refinement,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_t_reliable_motion_min5,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_temporal_risk_05,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_v1,864,data23-1,deepocsort,1273,True
67.26647145605271,52.11687407161468,444,20,23,58.91105822130075,71.44203581526861,25,61.586802827965435,829,confirmation38,0,geometry_reid_greedy_guard,849,data23-1,ocsort,1273,True
67.35116333788825,52.11687407161468,444,20,23,58.94864380414552,71.253534401508,27,61.42969363707776,829,confirmation38,0,no_refinement,849,data23-1,ocsort,1273,True
67.3623529788295,52.11687407161468,444,20,23,58.953736868635346,71.44203581526861,25,61.586802827965435,829,confirmation38,0,regr_t_reliable_motion_min5,849,data23-1,ocsort,1273,True
67.26647145605271,52.11687407161468,444,20,23,58.91105822130075,71.44203581526861,25,61.586802827965435,829,confirmation38,0,regr_temporal_risk_05,849,data23-1,ocsort,1273,True
67.26647145605271,52.11687407161468,444,20,23,58.91105822130075,71.44203581526861,25,61.586802827965435,829,confirmation38,0,regr_v1,849,data23-1,ocsort,1273,True
56.945618646646956,31.407575811814926,6605,357,380,42.04158051232255,46.32100648112848,317,33.78513599563359,4388,confirmation38,0,geometry_reid_greedy_guard,4745,data24-1,bytetrack,10993,True
55.5782485072582,31.407575811814926,6605,357,380,41.50577349365982,43.563349853856906,516,31.97489311379969,4388,confirmation38,0,no_refinement,4745,data24-1,bytetrack,10993,True
56.933019925166874,31.407575811814926,6605,357,380,42.0369608971164,46.32100648112848,317,33.78513599563359,4388,confirmation38,0,regr_t_reliable_motion_min5,4745,data24-1,bytetrack,10993,True
56.933019925166874,31.407575811814926,6605,357,380,42.0369608971164,46.32100648112848,317,33.78513599563359,4388,confirmation38,0,regr_temporal_risk_05,4745,data24-1,bytetrack,10993,True
56.59642862135289,31.407575811814926,6605,357,380,41.90572582347489,45.520396492565766,384,33.17565723642318,4388,confirmation38,0,regr_v1,4745,data24-1,bytetrack,10993,True
66.81557655070752,40.10651058219936,5389,866,262,51.22585284770879,56.908893088243715,107,42.12680796870736,5604,confirmation38,0,geometry_reid_greedy_guard,6470,data24-1,deepocsort,10993,True
65.60226345908536,40.107171061041235,5389,866,262,50.73613616817406,55.00773063047586,155,41.690166469571544,5604,confirmation38,0,no_refinement,6470,data24-1,deepocsort,10993,True
66.79467037992333,40.09882379784763,5389,866,262,51.212405162610565,56.88598751646337,105,42.14500136450469,5604,confirmation38,0,regr_t_reliable_motion_min5,6470,data24-1,deepocsort,10993,True
66.79467037992333,40.09882379784763,5389,866,262,51.212405162610565,56.88598751646337,105,42.14500136450469,5604,confirmation38,0,regr_temporal_risk_05,6470,data24-1,deepocsort,10993,True
66.41320641572062,40.08509089478799,5389,866,262,51.045168565588206,56.244631506613985,124,41.97216410443009,5604,confirmation38,0,regr_v1,6470,data24-1,deepocsort,10993,True
63.202405858180676,28.90734704544033,7414,150,130,42.63464835410771,42.738758320880315,116,30.13736013826981,3579,confirmation38,0,geometry_reid_greedy_guard,3729,data24-1,ocsort,10993,True
62.855762232154355,28.90734704544033,7414,150,130,42.51361970065607,42.11384322782231,145,29.873555899208586,3579,confirmation38,0,no_refinement,3729,data24-1,ocsort,10993,True
63.166333937619825,28.90734704544033,7414,150,130,42.62181699596837,42.69800298872436,118,30.11916674247248,3579,confirmation38,0,regr_t_reliable_motion_min5,3729,data24-1,ocsort,10993,True
63.202405858180676,28.90734704544033,7414,150,130,42.63464835410771,42.738758320880315,116,30.13736013826981,3579,confirmation38,0,regr_temporal_risk_05,3729,data24-1,ocsort,10993,True
63.1958817468527,28.90734704544033,7414,150,130,42.63233141619415,42.6844178780057,121,30.091876648776495,3579,confirmation38,0,regr_v1,3729,data24-1,ocsort,10993,True
27.423566494858083,17.51646749083074,157,25,1,21.903598008492338,22.058823529411764,8,5.9405940594059405,45,confirmation38,0,geometry_reid_greedy_guard,70,data27-1,bytetrack,202,True
17.404495855504447,17.51646749083074,157,25,1,17.434120156310236,12.5,12,3.9603960396039604,45,confirmation38,0,no_refinement,70,data27-1,bytetrack,202,True
17.404495855504447,17.51646749083074,157,25,1,17.434120156310236,12.5,12,3.9603960396039604,45,confirmation38,0,regr_t_reliable_motion_min5,70,data27-1,bytetrack,202,True
27.423566494858083,17.51646749083074,157,25,1,21.903598008492338,22.058823529411764,8,5.9405940594059405,45,confirmation38,0,regr_temporal_risk_05,70,data27-1,bytetrack,202,True
20.458321809137697,17.51646749083074,157,25,1,18.910867887515124,15.441176470588236,11,4.455445544554455,45,confirmation38,0,regr_v1,70,data27-1,bytetrack,202,True
81.45771700554143,26.601974536258073,138,24,0,46.5449685000184,43.44827586206896,1,19.306930693069308,64,confirmation38,0,geometry_reid_greedy_guard,88,data27-1,deepocsort,202,True
81.45771700554143,26.601974536258073,138,24,0,46.5449685000184,43.44827586206896,1,19.306930693069308,64,confirmation38,0,no_refinement,88,data27-1,deepocsort,202,True
81.45771700554143,26.601974536258073,138,24,0,46.5449685000184,43.44827586206896,1,19.306930693069308,64,confirmation38,0,regr_t_reliable_motion_min5,88,data27-1,deepocsort,202,True
81.45771700554143,26.601974536258073,138,24,0,46.5449685000184,43.44827586206896,1,19.306930693069308,64,confirmation38,0,regr_temporal_risk_05,88,data27-1,deepocsort,202,True
81.45771700554143,26.601974536258073,138,24,0,46.5449685000184,43.44827586206896,1,19.306930693069308,64,confirmation38,0,regr_v1,88,data27-1,deepocsort,202,True
