AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,family,invalid_class_instances,method,predicted_boxes,sequence,tracker,valid_gt_boxes,valid_output
75.1758433119087,73.19498325255908,176,2,42,74.10732597462379,82.96795952782462,65,80.91123330714846,1097,confirmation38,0,geometry_reid_greedy_guard,1099,data23-1,bytetrack,1273,True
74.56894942662198,73.45408625203422,176,2,42,73.92986936703585,81.70320404721754,89,79.02592301649646,1097,confirmation38,0,no_refinement,1099,data23-1,bytetrack,1273,True
75.16238764392739,73.19498325255908,176,2,42,74.10060729317827,82.96795952782462,65,80.91123330714846,1097,confirmation38,0,regr_t_reliable_motion_min5,1099,data23-1,bytetrack,1273,True
75.16238764392739,73.19498325255908,176,2,42,74.10060729317827,82.96795952782462,65,80.91123330714846,1097,confirmation38,0,regr_temporal_risk_05,1099,data23-1,bytetrack,1273,True
74.76238228086059,73.45408625203422,176,2,42,74.02737930803299,82.46205733558179,77,79.96857816182246,1097,confirmation38,0,regr_v1,1099,data23-1,bytetrack,1273,True
96.15847249999845,94.10840534171247,75,0,4,95.12791654961109,96.2363415621206,2,93.95129615082483,1198,confirmation38,0,geometry_reid_greedy_guard,1198,data23-1,deepocsort,1273,True
94.4556344365594,94.10840534171247,75,0,4,94.28186003873891,95.10319708619991,3,93.87274155538098,1198,confirmation38,0,no_refinement,1198,data23-1,deepocsort,1273,True
94.4556344365594,94.10840534171247,75,0,4,94.28186003873891,95.10319708619991,3,93.87274155538098,1198,confirmation38,0,regr_t_reliable_motion_min5,1198,data23-1,deepocsort,1273,True
96.15847249999845,94.10840534171247,75,0,4,95.12791654961109,96.2363415621206,2,93.95129615082483,1198,confirmation38,0,regr_temporal_risk_05,1198,data23-1,deepocsort,1273,True
96.15847249999845,94.10840534171247,75,0,4,95.12791654961109,96.2363415621206,2,93.95129615082483,1198,confirmation38,0,regr_v1,1198,data23-1,deepocsort,1273,True
77.3997579741191,73.36999214454046,339,0,25,75.35794340711833,75.4870865428183,34,70.69913589945011,934,confirmation38,0,geometry_reid_greedy_guard,934,data23-1,ocsort,1273,True
77.32972948804931,73.36999214454046,339,0,25,75.32384512939852,75.0339827820571,44,69.91358994501178,934,confirmation38,0,no_refinement,934,data23-1,ocsort,1273,True
77.3997579741191,73.36999214454046,339,0,25,75.35794340711833,75.4870865428183,34,70.69913589945011,934,confirmation38,0,regr_t_reliable_motion_min5,934,data23-1,ocsort,1273,True
77.3997579741191,73.36999214454046,339,0,25,75.35794340711833,75.4870865428183,34,70.69913589945011,934,confirmation38,0,regr_temporal_risk_05,934,data23-1,ocsort,1273,True
77.36498927855459,73.36999214454046,339,0,25,75.34101575921316,75.30584503851382,39,70.30636292223095,934,confirmation38,0,regr_v1,934,data23-1,ocsort,1273,True
53.49880746336798,48.80584916618158,4535,35,814,50.78189187898663,56.22783941438866,638,52.624397343764215,6458,confirmation38,0,geometry_reid_greedy_guard,6493,data24-1,bytetrack,10993,True
50.40660245714715,48.80584916618158,4535,35,814,49.219328860254116,51.023676083724126,1045,48.92204129900846,6458,confirmation38,0,no_refinement,6493,data24-1,bytetrack,10993,True
53.90731714894985,48.80584916618158,4535,35,814,50.97268206639907,56.22783941438866,640,52.60620394796689,6458,confirmation38,0,regr_t_reliable_motion_min5,6493,data24-1,bytetrack,10993,True
53.50223543353169,48.80584916618158,4535,35,814,50.7835947458139,56.22783941438866,639,52.615300645865545,6458,confirmation38,0,regr_temporal_risk_05,6493,data24-1,bytetrack,10993,True
52.62357036533301,48.80584916618158,4535,35,814,50.34707633845499,54.6265583895688,742,51.678340762303286,6458,confirmation38,0,regr_v1,6493,data24-1,bytetrack,10993,True
77.96627314255599,77.43665017512527,2476,0,247,77.70100988113835,77.76524859046643,135,76.24852178659147,8517,confirmation38,0,geometry_reid_greedy_guard,8517,data24-1,deepocsort,10993,True
76.04929938496322,77.4510893114479,2476,0,247,76.74699347560527,75.1922091235264,243,75.26607841353588,8517,confirmation38,0,no_refinement,8517,data24-1,deepocsort,10993,True
77.96170271741791,77.43665017512527,2476,0,247,77.69873217703437,77.65248590466427,136,76.2394250886928,8517,confirmation38,0,regr_t_reliable_motion_min5,8517,data24-1,deepocsort,10993,True
77.92616063044765,77.43665017512527,2476,0,247,77.681019290828,77.76524859046643,135,76.24852178659147,8517,confirmation38,0,regr_temporal_risk_05,8517,data24-1,deepocsort,10993,True
76.8909014986041,77.42051455210834,2476,0,247,77.15525336308397,76.50435674013326,176,75.87555717274628,8517,confirmation38,0,regr_v1,8517,data24-1,deepocsort,10993,True
61.86279995332006,40.62827898916796,6518,0,207,50.133612025657825,49.00439617274373,206,38.83380332939143,4475,confirmation38,0,geometry_reid_greedy_guard,4475,data24-1,ocsort,10993,True
61.110810628924824,40.62827898916796,6518,0,207,49.8279743089775,48.202741143004914,254,38.39716183025562,4475,confirmation38,0,no_refinement,4475,data24-1,ocsort,10993,True
61.98923087918502,40.62827898916796,6518,0,207,50.184815686344166,49.00439617274373,206,38.83380332939143,4475,confirmation38,0,regr_t_reliable_motion_min5,4475,data24-1,ocsort,10993,True
61.86279995332006,40.62827898916796,6518,0,207,50.133612025657825,49.00439617274373,206,38.83380332939143,4475,confirmation38,0,regr_temporal_risk_05,4475,data24-1,ocsort,10993,True
61.693631528217075,40.62827898916796,6518,0,207,50.06501805674735,48.79751745539178,214,38.761029746202134,4475,confirmation38,0,regr_v1,4475,data24-1,ocsort,10993,True
33.43222418514879,28.742828885263354,132,0,4,30.986173672844288,41.17647058823529,14,27.722772277227726,70,confirmation38,0,geometry_reid_greedy_guard,70,data27-1,bytetrack,202,True
29.221354800918657,28.742828885263354,132,0,4,28.961808012705532,35.294117647058826,20,24.752475247524753,70,confirmation38,0,no_refinement,70,data27-1,bytetrack,202,True
31.76635667754626,28.742828885263354,132,0,4,30.200508117702356,37.5,19,25.247524752475247,70,confirmation38,0,regr_t_reliable_motion_min5,70,data27-1,bytetrack,202,True
33.43222418514879,28.742828885263354,132,0,4,30.986173672844288,41.17647058823529,14,27.722772277227726,70,confirmation38,0,regr_temporal_risk_05,70,data27-1,bytetrack,202,True
32.398531027449714,28.742828885263354,132,0,4,30.501846274238975,38.23529411764706,18,25.742574257425744,70,confirmation38,0,regr_v1,70,data27-1,bytetrack,202,True
