AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,predicted_boxes,sequence,split,tracker,valid_gt_boxes
94.52264145011814,94.12906524295698,94.28798948645316,99.00564364418167,5,99.17886469118173,0,0,0,0,no_refinement,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
93.36275888682148,94.12906524295698,93.7074014124645,98.25315775329213,2,99.23241699393074,3,1,2,5,geometry_reid_greedy_guard,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
92.78653781644401,94.12906524295698,93.41624614348729,97.94858013078921,4,99.19671545876473,1,2,2,0,regr_v1,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
93.5742203443645,94.12906524295698,93.8139084453356,98.34273940696944,1,99.25026776151374,3,1,2,5,regr_temporal_risk_05,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
93.5742203443645,94.12906524295698,93.8139084453356,98.34273940696944,1,99.25026776151374,3,1,2,5,regr_t_reliable_motion_min3,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
95.36275242499703,94.12906524295698,94.70839210197936,99.5610498969811,1,99.25026776151374,3,0,1,0,regr_t_reliable_motion_min5,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
95.68257009533822,97.73295251695824,96.70232716862722,97.17432517829737,6,97.6258479114602,0,0,0,0,no_refinement,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.51703066675998,97.73295251695824,97.62493189625901,98.76320303331227,2,97.69725098179222,4,2,0,4,geometry_reid_greedy_guard,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.13314028050411,97.73295251695824,97.43258483103867,98.56459330143541,4,97.66154944662621,2,3,0,0,regr_v1,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.51703066675998,97.73295251695824,97.62493189625901,98.76320303331227,2,97.69725098179222,4,2,0,4,regr_temporal_risk_05,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.51703066675998,97.73295251695824,97.62493189625901,98.76320303331227,2,97.69725098179222,4,2,0,4,regr_t_reliable_motion_min3,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.55015541526852,97.73295251695824,97.64151118874764,98.76320303331227,2,97.69725098179222,4,1,0,0,regr_t_reliable_motion_min5,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
92.97003547249177,92.76722630552146,92.84299432673467,99.0907501311418,3,99.25060996863019,0,0,0,0,no_refinement,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,geometry_reid_greedy_guard,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,regr_v1,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,regr_temporal_risk_05,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,regr_t_reliable_motion_min3,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,regr_t_reliable_motion_min5,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
97.27228171910852,97.93990370671266,97.6055218975441,98.53847508364149,3,97.89125130707563,0,0,0,0,no_refinement,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,geometry_reid_greedy_guard,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,regr_v1,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,regr_temporal_risk_05,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,regr_t_reliable_motion_min3,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.83831447343417,97.93990370671266,97.88909591131339,98.8906497622821,1,97.9261066573719,2,0,0,0,regr_t_reliable_motion_min5,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
85.95331180887736,94.95113903070592,90.31361427095017,90.86507835393044,11,99.19969512195121,0,0,0,0,no_refinement,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.90167054848341,94.95113903070592,94.39495340863073,98.02522614345777,2,99.3140243902439,8,1,1,5,geometry_reid_greedy_guard,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.73632458870263,94.95113903070592,94.31189447121353,97.93604280800102,3,99.30132113821138,7,1,1,0,regr_v1,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.90167054848341,94.95113903070592,94.39495340863073,98.02522614345777,2,99.3140243902439,8,1,1,5,regr_temporal_risk_05,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.90167054848341,94.95113903070592,94.39495340863073,98.02522614345777,2,99.3140243902439,8,1,1,5,regr_t_reliable_motion_min3,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.90167054848341,94.95113903070592,94.39495340863073,98.02522614345777,2,99.3140243902439,8,1,1,5,regr_t_reliable_motion_min5,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
87.90893608571727,98.24695121951223,92.93430451331025,90.54209919261822,11,98.10721544715447,0,0,0,0,no_refinement,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.79234964725343,98.24695121951223,97.01188743136667,97.51377675253107,2,98.22154471544715,9,1,0,6,geometry_reid_greedy_guard,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.6711778270901,98.24695121951223,96.95051078303507,97.44969883378188,3,98.20884146341463,8,1,0,0,regr_v1,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.79234964725343,98.24695121951223,97.01188743136667,97.51377675253107,2,98.22154471544715,9,1,0,6,regr_temporal_risk_05,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.79234964725343,98.24695121951223,97.01188743136667,97.51377675253107,2,98.22154471544715,9,1,0,6,regr_t_reliable_motion_min3,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.79234964725343,98.24695121951223,97.01188743136667,97.51377675253107,2,98.22154471544715,9,1,0,6,regr_t_reliable_motion_min5,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,no_refinement,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,geometry_reid_greedy_guard,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,regr_v1,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,regr_temporal_risk_05,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,regr_t_reliable_motion_min3,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,regr_t_reliable_motion_min5,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,no_refinement,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,geometry_reid_greedy_guard,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
