AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
42.28840199140619,30.958681402539565,104376,12727,7690,34.64553531169412,38.31634073180515,10324,28.83090766011097,91818,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,104545,all_sequences,50,bytetrack,196194,True
36.38483194474613,25.186450039057718,16767,1515,1165,27.787836118083998,31.056806237408097,1859,20.94506927302658,13899,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,15414,legacy12,12,bytetrack,30666,True
44.152687269298816,32.781491306796994,87609,11212,6525,36.8111245307289,40.60882530898317,8465,31.32117241392709,77919,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,89131,confirmation38,38,bytetrack,165528,True
44.490973609756665,30.951129957029853,104376,12727,7690,35.794383657900305,41.104059771348645,7711,30.196840373723106,91818,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,104545,all_sequences,50,bytetrack,196194,True
38.041099890638435,25.174611910591256,16767,1515,1165,28.536294398990634,32.996708801683276,1465,21.789884835450593,13899,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,15414,legacy12,12,bytetrack,30666,True
46.527775836846644,32.77529355064204,87609,11212,6525,38.08641184492441,43.66427586703244,6246,32.85166843844075,77919,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,89131,confirmation38,38,bytetrack,165528,True
43.75499213679762,30.955724665701783,104376,12727,7690,35.39909653851582,39.967401330532766,8935,29.613741904539573,91818,equal_sequence_mean_metrics_total_counts,0,0,regr_v1,104545,all_sequences,50,bytetrack,196194,True
37.79676464731279,25.17692404954776,16767,1515,1165,28.42306583034339,32.52343758416772,1612,21.498639483459456,13899,equal_sequence_mean_metrics_total_counts,0,0,regr_v1,15414,legacy12,12,bytetrack,30666,True
45.63653765979283,32.78060907080306,87609,11212,6525,37.60205360425448,42.31812672412172,7323,32.17640582698592,77919,equal_sequence_mean_metrics_total_counts,0,0,regr_v1,89131,confirmation38,38,bytetrack,165528,True
44.503501052892645,30.949315495624404,104376,12727,7690,35.80121110443761,41.13018729257496,7611,30.216325448265867,91818,equal_sequence_mean_metrics_total_counts,0,0,regr_temporal_risk_05,104545,all_sequences,50,bytetrack,196194,True
38.04735285735173,25.174611910591256,16767,1515,1165,28.543897861541083,33.032807460872505,1464,21.790303399968774,13899,equal_sequence_mean_metrics_total_counts,0,0,regr_temporal_risk_05,15414,legacy12,12,bytetrack,30666,True
46.54228469358977,32.772906101424354,87609,11212,6525,38.092994233773354,43.687254607849404,6147,32.877174516149154,77919,equal_sequence_mean_metrics_total_counts,0,0,regr_temporal_risk_05,89131,confirmation38,38,bytetrack,165528,True
43.97772003247242,30.951213596673778,104376,12727,7690,35.544513558818636,40.76558462668695,7693,30.114885348842172,91818,equal_sequence_mean_metrics_total_counts,0,0,regr_t_reliable_motion_min5,104545,all_sequences,50,bytetrack,196194,True
37.73673251881167,25.174611910591256,16767,1515,1165,28.43225289766995,32.87556849039698,1471,21.771837302967878,13899,equal_sequence_mean_metrics_total_counts,0,0,regr_t_reliable_motion_min5,15414,legacy12,12,bytetrack,30666,True
45.948558194681084,32.775403602805106,87609,11212,6525,37.790490609707696,43.25716866972589,6222,32.749532100170896,77919,equal_sequence_mean_metrics_total_counts,0,0,regr_t_reliable_motion_min5,89131,confirmation38,38,bytetrack,165528,True
47.62000863859625,29.21251372484338,118476,7846,3325,35.88612370029249,36.46173728923567,4263,26.949922767249667,77718,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,85564,all_sequences,50,ocsort,196194,True
39.66292473287653,22.499812117701122,19938,946,832,27.091282535948704,26.9304077894094,1159,17.34327625876098,10728,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,11674,legacy12,12,ocsort,30666,True
50.13277197724458,31.332314232362,98538,6900,2493,38.66344196271684,39.47163081549661,3104,29.98360061203557,66990,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,73890,confirmation38,38,ocsort,165528,True
50.11580809511481,29.208096921213397,118476,7846,3323,36.79592243817724,38.76435981988648,2585,28.091661078824522,77718,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,85564,all_sequences,50,ocsort,196194,True
42.43794906840636,22.499224385264213,19938,946,832,28.248094836286537,29.523063931879804,719,18.767389201254957,10728,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,11674,legacy12,12,ocsort,30666,True
52.540395156180644,31.326688248355254,98538,6900,2491,39.495236417721685,41.68266378452015,1866,31.036167987530717,66990,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,73890,confirmation38,38,ocsort,165528,True
49.240326489503246,29.207952487357996,118476,7846,3323,36.53185303880642,38.08522975758765,3204,27.69874601054167,77718,equal_sequence_mean_metrics_total_counts,0,0,regr_v1,85564,all_sequences,50,ocsort,196194,True
