panel,tracker,method,dimension,bin,accepted_links,correct,false,unknown,auditable_link_precision
m3ot_oracle,bytetrack,regr_final,gap,1-5 frames,83,47,35,1,0.573170731707317
m3ot_oracle,bytetrack,regr_final,gap,16-30 frames,20,0,18,2,0.0
m3ot_oracle,bytetrack,regr_final,gap,6-15 frames,24,1,21,2,0.045454545454545456
m3ot_oracle,bytetrack,regr_final,motion_reliability,reliable,123,48,74,1,0.39344262295081966
m3ot_oracle,bytetrack,regr_final,motion_reliability,uninformative,4,0,0,4,N/A
m3ot_oracle,bytetrack,regr_final,object_size,tiny (<32^2 px),127,48,74,5,0.39344262295081966
m3ot_oracle,bytetrack,regr_final,reciprocal_support,consensus,60,29,29,2,0.5
m3ot_oracle,bytetrack,regr_final,reciprocal_support,non-consensus,67,19,45,3,0.296875
m3ot_oracle,bytetrack,regr_final_no_motion,gap,1-5 frames,103,54,46,3,0.54
m3ot_oracle,bytetrack,regr_final_no_motion,gap,16-30 frames,25,0,23,2,0.0
m3ot_oracle,bytetrack,regr_final_no_motion,gap,6-15 frames,31,1,28,2,0.034482758620689655
m3ot_oracle,bytetrack,regr_final_no_motion,motion_reliability,reliable,155,55,97,3,0.3618421052631579
m3ot_oracle,bytetrack,regr_final_no_motion,motion_reliability,uninformative,4,0,0,4,N/A
m3ot_oracle,bytetrack,regr_final_no_motion,object_size,tiny (<32^2 px),159,55,97,7,0.3618421052631579
m3ot_oracle,bytetrack,regr_final_no_motion,reciprocal_support,consensus,74,31,41,2,0.4305555555555556
m3ot_oracle,bytetrack,regr_final_no_motion,reciprocal_support,non-consensus,85,24,56,5,0.3
m3ot_oracle,ocsort,regr_final,gap,1-5 frames,87,53,34,0,0.6091954022988506
m3ot_oracle,ocsort,regr_final,gap,16-30 frames,10,0,10,0,0.0
m3ot_oracle,ocsort,regr_final,gap,6-15 frames,15,5,10,0,0.3333333333333333
m3ot_oracle,ocsort,regr_final,motion_reliability,reliable,111,58,53,0,0.5225225225225225
m3ot_oracle,ocsort,regr_final,motion_reliability,uninformative,1,0,1,0,0.0
m3ot_oracle,ocsort,regr_final,object_size,tiny (<32^2 px),112,58,54,0,0.5178571428571429
m3ot_oracle,ocsort,regr_final,reciprocal_support,consensus,38,19,19,0,0.5
