split,tracker,method,HOTA,AssA,IDF1,IDSW,accepted_correct,accepted_false,accepted_unknown
development,bytetrack,geometry_reid_greedy_guard,94.24370344601112,94.14707974675309,98.60079955366432,6,13,2,3
development,bytetrack,no_refinement,93.28343631266932,92.27978798743621,96.8852278453976,20,0,0,0
development,bytetrack,regr_t_reliable_motion_min5,94.49395111838984,94.64707813129698,98.92777258958655,5,13,1,2
development,bytetrack,regr_temporal_risk_05,94.27033020422888,94.19994511113885,98.62319496708363,5,13,2,3
development,bytetrack,regr_v1,94.15014989441252,93.96168798921353,98.50235931417438,9,10,3,3
development,ocsort,geometry_reid_greedy_guard,97.61760173428496,97.1021773081473,98.32558290030127,6,15,4,0
development,ocsort,no_refinement,96.30515093447819,94.54816806463187,96.09740037690918,21,0,0,0
development,ocsort,regr_t_reliable_motion_min5,97.63023617246473,97.1274259735799,98.32558290030127,6,15,2,0
development,ocsort,regr_temporal_risk_05,97.61760173428496,97.1021773081473,98.32558290030127,6,15,4,0
development,ocsort,regr_v1,97.55417080589697,96.97591175654252,98.25991098764476,9,12,5,0
held_out,bytetrack,geometry_reid_greedy_guard,85.11403751610138,82.17879234360521,92.28759079535966,4,1,8,1
held_out,bytetrack,no_refinement,88.30595869519294,88.43210190352058,96.77181617937282,6,0,0,0
held_out,bytetrack,regr_t_reliable_motion_min5,89.09440762334265,89.95883988058038,98.29807355716629,3,2,0,1
held_out,bytetrack,regr_temporal_risk_05,85.11403751610138,82.17879234360521,92.28759079535966,4,1,8,1
held_out,bytetrack,regr_v1,84.97349837715312,81.99057850014476,91.96200099226898,5,0,8,1
held_out,ocsort,geometry_reid_greedy_guard,93.04543102492198,90.82033560464683,93.95586209979427,5,0,4,0
held_out,ocsort,no_refinement,94.05490180420017,92.76751283708309,95.39262475202062,5,0,0,0
held_out,ocsort,regr_t_reliable_motion_min5,93.94808143994018,92.57418745634743,95.47130295815754,4,1,1,0
held_out,ocsort,regr_temporal_risk_05,93.04543102492198,90.82033560464683,93.95586209979427,5,0,4,0
held_out,ocsort,regr_v1,93.59925886458302,91.90887878844285,94.84099191883439,5,0,3,0
